District,Zone ID,Zone Name,Zone Type,Zone Speed Limit,Latitude,Longitude,Pincode
Nainital,Z100,Kaldhungi-Nainital Road,primary,40,29.2936431,79.338482,263128
Nainital,-,Unnamed Zone,trunk,50,29.4961828,79.48104025,263135
Nainital,-,Unnamed Zone,unclassified,40,29.3854695,79.4332752,263001
Nainital,Z101,Snowview Road,tertiary,20,29.3844974,79.46326035,263003
Nainital,Z102,Zoo Road Nainital,track,35,29.38241985,79.4645345,263003
Nainital,Z103,Mall Road,primary,40,29.3803634,79.46359155,263003
Nainital,-,Unnamed Zone,trunk,50,29.3949355,79.126597,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.49958,79.126435,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.49615255,79.4812031,263135
Nainital,Z104,Nainital Road,trunk,40,29.21770115,79.52966695,263139
Nainital,-,Unnamed Zone,tertiary,20,29.3804166,79.4601333,236002
Nainital,Z105,Mukteshwar Road,secondary,40,29.4656824,79.6509825,263138
Nainital,Z106,Suyalbari Mukteshwar Road,primary,40,29.53876015,79.5597843,263137
Nainital,Z107,NH 87E,secondary,50,29.49741405,79.61928,263138
Nainital,Z105,Mukteshwar Road,secondary,40,29.4969677,79.6196673,263138
Nainital,-,Unnamed Zone,trunk,30,29.60562105,79.0925905,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.1773313,79.5202399,263139
Nainital,Z108,Moradabad-Kaladhungi Road,primary,80,29.2402474,79.2748865,Pincode Not Found
Nainital,Z108,Moradabad-Kaladhungi Road,primary,80,29.240262,79.2755352,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.4969342,79.4808034,263135
Nainital,-,Unnamed Zone,trunk,50,29.45885145,79.48079655,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.4965455,79.48092715,263135
Nainital,Z109,Nainital - Haldwani Highway,trunk,40,29.2912993,79.54502195,263127
Nainital,-,Unnamed Zone,trunk,50,29.4591664,79.4808564,Pincode Not Found
Nainital,-,Unnamed Zone,tertiary,80,29.27132615,79.3307369,Pincode Not Found
Nainital,-,Unnamed Zone,primary,80,29.27953795,79.3495404,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.55383875,79.6088918,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.5540404,79.60876755,263600
Nainital,-,Unnamed Zone,trunk,50,29.55360115,79.6089907,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.52792,79.09814,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.52824,79.09656,Pincode Not Found
Nainital,Z110,Haldwani - Bheemtal Highway,primary,50,29.29137845,79.54799955,263126
Nainital,Z110,Haldwani - Bheemtal Highway,primary,50,29.29122075,79.5450959,263126
Nainital,-,Unnamed Zone,trunk,40,29.0754627,79.5166549,Pincode Not Found
Nainital,-,Unnamed Zone,primary,40,29.3952385,79.44962795,263002
Nainital,Z111,Haldwani - Bhimtal Highway,primary,50,29.29142,79.54834585,263136
Nainital,-,Unnamed Zone,trunk,50,29.38618055,79.5143686,Pincode Not Found
Nainital,Z112,Nainital - Bhawali Road,trunk,50,29.38028285,79.4636306,263003
Nainital,-,Unnamed Zone,trunk,30,29.5518992,79.10942505,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.39036475,79.12845835,244715
Nainital,-,Unnamed Zone,trunk,50,29.39026825,79.12844405,244715
Nainital,-,Unnamed Zone,trunk,50,29.4883245,79.138807,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.49477815,79.1314337,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.495085,79.1313,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.4881078,79.13925415,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.4852849,79.14165565,Pincode Not Found
Nainital,Z113,Ranikhet Ramnagar Road,primary,50,29.54788725,79.1086472,Pincode Not Found
Nainital,Z113,Ranikhet Ramnagar Road,primary,50,29.5477589,79.1079556,Pincode Not Found
Nainital,Z114,Bareilly Road,trunk,40,29.1777256,79.52018785,263139
Nainital,Z115,Gas Godam Road,secondary,40,29.1741176,79.46965875,263141
Nainital,Z116,Prakriti Vihar,residential,15,29.1895083,79.49004795,263141
Nainital,Z104,Nainital Road,trunk,40,29.22387785,79.53047985,263141
Nainital,Z104,Nainital Road,trunk,40,29.27692575,79.5456647,263126
Nainital,Z104,Nainital Road,trunk,40,29.24046815,79.53454275,263141
Nainital,Z114,Bareilly Road,trunk,40,29.20457105,79.52704165,263139
Nainital,Z114,Bareilly Road,trunk,40,29.19654625,79.52476785,263139
Nainital,Z104,Nainital Road,trunk,40,29.22331515,79.53049525,263139
Nainital,Z114,Bareilly Road,trunk,40,29.20427265,79.5269987,263139
Nainital,Z104,Nainital Road,trunk,40,29.26481695,79.5445673,263126
Nainital,Z104,Nainital Road,trunk,40,29.27073115,79.544002,263126
Nainital,Z117,Bhimtal - Bhawali Highway,secondary,50,29.3675837,79.5470708,263136
Nainital,Z103,Mall Road,primary,40,29.3919034,79.454441,263002
Nainital,Z118,Upper Mall Road,primary,40,29.3915152,79.45596715,263003
Nainital,Z119,Nainital - Bhowali Highway,trunk,50,29.38693145,79.50241275,263003
Nainital,Z104,Nainital Road,trunk,40,29.2709276,79.54401265,263126
Nainital,Z104,Nainital Road,trunk,40,29.27044015,79.54401855,263126
Nainital,Z120,Gali No. 2,residential,30,29.2306552,79.48136545,262402
Nainital,Z121,Gali No. 1,residential,30,29.23049765,79.4825428,262402
Nainital,Z122,Gali No. 3,residential,30,29.2294225,79.48245055,262402
Nainital,-,Unnamed Zone,trunk,40,29.0780939,79.51682895,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.1396733,79.52150875,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.12886235,79.5204211,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.0771335,79.5167672,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.13629625,79.5210864,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.1406132,79.5214565,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.1526206,79.52246975,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.15657285,79.5228772,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.1669792,79.5215408,263139
Nainital,Z108,Moradabad-Kaladhungi Road,primary,80,29.20902395,79.214163,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.0587623,79.5157518,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.06519245,79.5160461,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.04897255,79.5154645,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,50,29.27874845,79.0221381,244716
Nainital,-,Unnamed Zone,trunk,50,29.27884415,79.02222975,Pincode Not Found
Nainital,Z104,Nainital Road,trunk,40,29.2696686,79.54406035,263126
Nainital,-,Unnamed Zone,trunk,40,29.0622836,79.51590475,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.0743852,79.5166107,Pincode Not Found
Nainital,Z104,Nainital Road,trunk,40,29.2165597,79.52919245,263139
Nainital,Z104,Nainital Road,trunk,40,29.21351585,79.52800925,263139
Nainital,Z104,Nainital Road,trunk,40,29.216656,79.52921765,263139
Nainital,Z104,Nainital Road,trunk,40,29.271167,79.5440609,263126
Nainital,Z104,Nainital Road,trunk,40,29.27669,79.5455327,263126
Nainital,Z104,Nainital Road,trunk,40,29.26443935,79.54455935,263126
Nainital,Z104,Nainital Road,trunk,40,29.24074745,79.5345916,263126
Nainital,Z114,Bareilly Road,trunk,40,29.1964917,79.52477815,263139
Nainital,-,Unnamed Zone,trunk,40,29.05936145,79.5156904,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.0591534,79.5156786,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.05996075,79.5157984,Pincode Not Found
Nainital,-,Unnamed Zone,trunk,40,29.05929335,79.51577835,Pincode Not Found
Nainital,-,Unnamed Zone,primary,80,29.2913105,79.34033315,Pincode Not Found
Nainital,-,Unnamed Zone,primary,80,29.2903562,79.34140465,Pincode Not Found
Nainital,-,Unnamed Zone,primary,80,29.29103125,79.34063265,Pincode Not Found
Nainital,-,Unnamed Zone,primary,80,29.29074045,79.3409576,Pincode Not Found
Nainital,Z111,Haldwani - Bhimtal Highway,primary,50,29.34967735,79.554104,263136
Nainital,Z111,Haldwani - Bhimtal Highway,primary,50,29.349555,79.55404575,263136
Nainital,Z117,Bhimtal - Bhawali Highway,secondary,50,29.38502915,79.51511455,263003
Nainital,Z117,Bhimtal - Bhawali Highway,secondary,50,29.3848429,79.5151679,263003
Nainital,-,Unnamed Zone,trunk,40,29.0745566,79.5165955,Pincode Not Found
Nainital,-,Unnamed Zone,tertiary,40,29.39301915,79.438507,263001
Nainital,-,Unnamed Zone,trunk,50,29.39020955,79.1284496,244715
Nainital,-,Unnamed Zone,trunk,50,29.3901523,79.1284471,244715
Nainital,Z106,Suyalbari Mukteshwar Road,primary,40,29.49345305,79.57221385,263137
Nainital,Z123,SH 62,primary,40,29.49337855,79.5721089,263137
Nainital,Z113,Ranikhet Ramnagar Road,primary,50,29.5967265,79.3244644,263663
